model,train_size,train_mean,train_std,val_mean,val_std,gap_koncowy
Naive Bayes,20677,0.9620598989434939,0.0015191644786156585,0.9439926620224041,0.0003313668732774267,0.0024582009548345107
Naive Bayes,41354,0.9575578276998647,0.00028022500559305135,0.9486013166517232,0.0006750927994229389,0.0024582009548345107
Naive Bayes,62031,0.9544791834493118,0.00029976935941350083,0.9493615345361729,0.0006116381891034376,0.0024582009548345107
Naive Bayes,82708,0.9533756128028177,0.000187499728194896,0.9496056349401368,0.0005048493570857807,0.0024582009548345107
Naive Bayes,103386,0.9523695479409972,0.0002507233332126448,0.9499113469861626,0.0005675143141091704,0.0024582009548345107
Logistic Regression,20677,0.9994920965303611,7.13787036309148e-05,0.9719398663500858,0.0005355385802148164,0.015869164418213844
Logistic Regression,41354,0.9992961055662043,4.5134726218735184e-05,0.9765169351446161,0.0012002706098073034,0.015869164418213844
Logistic Regression,62031,0.9991497816670218,4.268988386569051e-05,0.9793092024966951,0.0007072244529214804,0.015869164418213844
Logistic Regression,82708,0.9990208747987613,2.568079083452744e-05,0.9813631272246953,0.0002706897157875141,0.015869164418213844
Logistic Regression,103386,0.9988182187018869,9.143011298138018e-05,0.9829490542836731,0.00032655306019813157,0.015869164418213844
SVM,20677,0.9995090591930772,9.536748505586983e-05,0.9704144470508912,0.0005598937977550914,0.016168733304029237
SVM,41354,0.9993045668785303,6.484994620680532e-05,0.9752930401095122,0.0013493195126819742,0.016168733304029237
SVM,62031,0.9991894175179534,5.3622237215090516e-05,0.9784958476273345,0.0009225506548800783,0.016168733304029237
SVM,82708,0.9990889821910486,3.6231158226067786e-05,0.9810495201584852,0.0003720386674335785,0.016168733304029237
SVM,103386,0.9988761882570133,6.004503930088704e-05,0.9827074549529841,0.00022835616650098835,0.016168733304029237
Random Forest,20677,0.9995428829658718,7.145048016230056e-05,0.9654147009805704,0.0015064648081852673,0.016357533999628693
Random Forest,41354,0.999219785207884,0.00013418542385886155,0.9729815266256289,0.0005922082403968912,0.016357533999628693
Random Forest,62031,0.999042421259332,3.612252754760919e-05,0.977346060414459,9.405044077852403e-05,0.016357533999628693
Random Forest,82708,0.998795920699485,5.1096632898907985e-05,0.9801043759016115,0.000519213859082371,0.016357533999628693
Random Forest,103386,0.998682755953824,2.8837944287424436e-05,0.9823252219541954,0.000517109810594125,0.016357533999628693
XGBoost,20677,0.9954607391810555,0.0005127261314509002,0.9616969263379547,0.00041858234714089147,0.014028400036452782
XGBoost,41354,0.9944084399379777,0.0003206541711128548,0.9714938692882861,0.0003641979495671246,0.014028400036452782
XGBoost,62031,0.9935526158927303,0.00016895532238043394,0.9746800754240686,8.242634097379952e-05,0.014028400036452782
XGBoost,82708,0.9933012004499912,0.00014523943704692024,0.977248115662471,0.0008161093718951172,0.014028400036452782
XGBoost,103386,0.9929379548647649,0.0002928065437590857,0.9789095548283121,0.00021304080485061729,0.014028400036452782
